"id","name","party","state","vote.100000690","vote.100000691","vote.100000692","vote.100000693","vote.100000694","vote.100000695","vote.100000696","vote.100000697","vote.100000698","vote.100000699","vote.100000700","vote.100000701","vote.100000702","vote.100000703","vote.100000704","vote.100000705","vote.100000708"
537,"ABELARDO LUPION","PFL","PR",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,1
475,"ADAO PRETTO","PT","RS",2,NA,2,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA
126,"ADAUTO PEREIRA","PFL","PB",NA,NA,1,NA,1,1,NA,2,1,2,NA,NA,1,NA,NA,1,1
51,"ADELAIDE NERI","PMDB","AC",1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA
477,"ADROALDO STRECK","PSDB","RS",2,1,NA,2,NA,1,1,1,1,2,1,2,NA,NA,NA,2,NA
478,"ADYLSON MOTTA","PPR","RS",NA,2,3,3,3,1,1,2,3,1,2,NA,1,1,1,3,3
86,"AECIO DE BORBA","PPR","CE",NA,2,NA,NA,1,NA,1,NA,1,1,NA,1,1,1,1,NA,NA
219,"AECIO NEVES","PSDB","MG",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
220,"AGOSTINHO VALENTE","PT","MG",NA,NA,2,NA,1,1,2,1,1,2,1,1,NA,NA,2,NA,NA
17,"ALACID NUNES","PFL","PA",2,1,1,NA,1,1,1,2,1,NA,2,2,1,1,1,1,1
329,"ALBERTO GOLDMAN","PMDB","SP",1,1,3,1,3,1,NA,1,1,NA,NA,NA,2,1,NA,1,1
328,"ALBERTO HADDAD","PP","SP",NA,NA,1,NA,NA,1,1,NA,1,2,2,NA,NA,1,NA,NA,NA
1,"ALCESTE ALMEIDA","PTB","RR",NA,NA,1,NA,2,NA,1,NA,1,NA,NA,1,1,2,NA,1,1
209,"ALCIDES MODESTO","PT","BA",2,2,2,1,1,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA
282,"ALDIR CABRAL","PFL","RJ",1,NA,1,NA,NA,1,NA,NA,1,2,2,1,NA,NA,NA,NA,NA
479,"ALDO PINTO","PDT","RS",1,2,1,NA,NA,NA,NA,NA,2,2,NA,1,1,2,NA,NA,1
357,"ALDO REBELO","PCdoB","SP",2,2,2,NA,NA,NA,2,NA,1,2,NA,1,NA,NA,NA,1,2
221,"ALOISIO VASCONCELOS","PMDB","MG",NA,2,NA,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA
330,"ALOIZIO MERCADANTE","PT","SP",2,2,2,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"ALUIZIO ALVES","PMDB","RN",1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"ALVARO RIBEIRO","PSB","PE",2,2,2,1,1,NA,2,1,1,NA,1,NA,NA,1,3,1,1
